time,value
0,0
0.02,0
0.12,0.0003956468
0.22,0.0006852804
0.2465718,0.002272818
0.263373,0.003876533
0.2797068,0.004279577
0.2963514,0.004545639
0.3133432,0.004780622
0.3294053,0.005020199
0.3463628,0.004704214
0.3625403,0.004951199
0.3793006,0.005187578
0.3962968,0.005208994
0.4122392,0.005451915
0.4292752,0.005519966
0.4453719,0.005595301
0.4622466,0.005714947
0.479236,0.005816732
0.4952224,0.005953167
0.5116405,0.006089303
0.5282123,0.006234364
0.5447739,0.006367884
0.5613407,0.006445359
0.5781989,0.006520295
0.5944736,0.006679906
0.6111768,0.006775684
0.6281632,0.006850033
0.6441739,0.006890798
0.6612021,0.007010263
0.6773069,0.007101794
0.6941864,0.007191704
0.7614795,0.007310166
0.7793301,0.00740155
0.7958998,0.008262563
0.8124644,0.008380973
0.8291083,0.00841768
0.8455991,0.008472594
0.8631012,0.008517067
0.879073,0.008589677
0.8952992,0.008646387
0.9120554,0.008694038
0.9284331,0.008728039
0.9450278,0.008760992
0.9620219,0.008812337
0.9781317,0.008861994
0.995001,0.008905086
1.011264,0.00894827
1.027985,0.008992962
1.044973,0.009055229
1.06097,0.009098333
1.077534,0.009116843
1.0941,0.009152248
1.110666,0.009205856
1.127232,0.009236406
1.143906,0.009253454
1.160893,0.009308335
1.176932,0.009323746
1.193498,0.009384624
1.212593,0.009409187
1.229859,0.009424267
1.245846,0.009490665
1.262412,0.009535993
1.278862,0.009560513
1.295428,0.009586626
1.312392,0.009601107
1.328562,0.009630049
1.345367,0.009672543
1.361694,0.009687525
1.37831,0.009716153
1.394827,0.009734249
1.411396,0.009754006
1.428311,0.009778842
1.444529,0.00979774
1.46128,0.0098256
1.477662,0.009846662
1.494233,0.0098664
1.510794,0.009890131
1.527362,0.009898744
1.5442,0.009925175
1.560494,0.009933492
1.577186,0.00995609
1.593627,0.009973315
1.6102,0.009986099
1.626762,0.01001232
1.643329,0.01002386
1.660136,0.01003732
1.676462,0.01005519
1.693119,0.01007155
1.710134,0.01008799
1.726164,0.01009268
1.742729,0.01011835
1.759295,0.0101188
1.775862,0.01014065
1.792427,0.01014733
1.809055,0.01016647
1.826072,0.01017298
1.842129,0.01018153
1.859071,0.01020409
1.875262,0.0102064
1.892028,0.01023141
1.909025,0.01021993
1.924984,0.01023499
1.941528,0.01025077
1.958095,0.01025569
1.974661,0.01026657
1.991228,0.01027991
2.007955,0.0102861
2.024949,0.01029639
2.040928,0.01030254
2.057919,0.01032366
2.074063,0.0103203
2.090628,0.01033259
2.107889,0.01032786
2.123876,0.01033887
2.142387,0.01035967
2.158957,0.0103558
2.175819,0.01039322
2.192812,0.01039834
2.208795,0.01041065
2.225786,0.01042217
2.241793,0.01042025
2.258357,0.0104304
2.274924,0.01042985
2.29149,0.01043123
2.311976,0.01043947
2.329277,0.0104446
2.34527,0.0105149
2.36226,0.0105281
2.378252,0.01052142
2.394811,0.01053093
2.411378,0.01052323
2.427944,0.01052113
2.444511,0.01052886
2.461198,0.01053031
2.478195,0.01053359
2.494212,0.01054076
2.511171,0.01055423
2.527344,0.01054112
2.544142,0.01054906
2.560478,0.01054078
2.577125,0.01054653
2.59361,0.01055369
2.610178,0.01055095
2.627129,0.01055592
2.64331,0.01055643
2.660199,0.01056483
2.676445,0.01056327
2.693235,0.01057077
2.710183,0.01056806
2.726163,0.01056838
2.743159,0.01057549
2.759279,0.01057254
2.776152,0.0105747
2.79241,0.01056491
2.809103,0.01058191
2.826118,0.01057356
2.842111,0.01057185
2.859079,0.01058348
2.876089,0.01058059
2.89206,0.01058541
2.908378,0.01058913
2.926917,0.01058209
2.943485,0.01058341
2.960053,0.01061107
2.977264,0.01061425
2.993232,0.01061904
3.01019,0.01062665
3.026318,0.01061926
3.043171,0.01062309
3.059452,0.01061655
3.076188,0.01062234
3.093142,0.0106172
3.10916,0.01062117
3.126138,0.01062483
3.143112,0.01061836
3.159153,0.01062516
3.175418,0.01063163
3.192078,0.01062204
3.2091,0.01061288
3.225169,0.01061735
3.241686,0.01062927
3.260661,0.01061886
